Numbers represent the location of active nibbles.
Denote 4 bits as a nibble.
Counter from the right side and zero.

input pattern: 0  ---> output pattern: 14
input pattern: 10 ---> output pattern: 12
input pattern: 10 ---> output pattern: 14
input pattern: 10 ---> output pattern: 15
input pattern: 10 ---> output pattern: 2
input pattern: 10 ---> output pattern: 8
input pattern: 11 ---> output pattern: 11
input pattern: 11 ---> output pattern: 13
input pattern: 11 ---> output pattern: 14
input pattern: 11 ---> output pattern: 15
input pattern: 11 ---> output pattern: 1
input pattern: 1- ---> output pattern: 3
input pattern: 12 ---> output pattern: 15
input pattern: 13 ---> output pattern: 14
input pattern: 14 ---> output pattern: 13
input pattern: 15 ---> output pattern: 12
input pattern: 2 --->  output pattern: 12
input pattern: 3 --->  output pattern: 15
input pattern: 4 --->  output pattern: 0
input pattern: 4 --->  output pattern: 10
input pattern: 4 --->  output pattern: 11
input pattern: 4 --->  output pattern: 12
input pattern: 4 --->  output pattern: 13
input pattern: 4 --->  output pattern: 14
input pattern: 4 --->  output pattern: 15
input pattern: 4 --->  output pattern: 1
input pattern: 4 --->  output pattern: 2
input pattern: 4 --->  output pattern: 3
input pattern: 4 --->  output pattern: 4
input pattern: 4 --->  output pattern: 5
input pattern: 4 --->  output pattern: 6
input pattern: 4 --->  output pattern: 7
input pattern: 4 --->  output pattern: 9
input pattern: 5 --->  output pattern: 0
input pattern: 5 --->  output pattern: 10
input pattern: 5 --->  output pattern: 12
input pattern: 5 --->  output pattern: 13
input pattern: 5 --->  output pattern: 14
input pattern: 5 --->  output pattern: 15
input pattern: 5 --->  output pattern: 1
input pattern: 5 --->  output pattern: 2
input pattern: 5 --->  output pattern: 3
input pattern: 5 --->  output pattern: 4
input pattern: 5 --->  output pattern: 5
input pattern: 5 --->  output pattern: 6
input pattern: 5 --->  output pattern: 7
input pattern: 5 --->  output pattern: 8
input pattern: 5 --->  output pattern: 9
input pattern: 6 --->  output pattern: 0
input pattern: 6 --->  output pattern: 11
input pattern: 6 --->  output pattern: 12
input pattern: 6 --->  output pattern: 13
input pattern: 6 --->  output pattern: 14
input pattern: 6 --->  output pattern: 15
input pattern: 6 --->  output pattern: 1
input pattern: 6 --->  output pattern: 2
input pattern: 6 --->  output pattern: 3
input pattern: 6 --->  output pattern: 4
input pattern: 6 --->  output pattern: 5
input pattern: 6 --->  output pattern: 6
input pattern: 6 --->  output pattern: 7
input pattern: 6 --->  output pattern: 8
input pattern: 6 --->  output pattern: 9
input pattern: 7 --->  output pattern: 0
input pattern: 7 --->  output pattern: 10
input pattern: 7 --->  output pattern: 11
input pattern: 7 --->  output pattern: 12
input pattern: 7 --->  output pattern: 13
input pattern: 7 --->  output pattern: 14
input pattern: 7 --->  output pattern: 15
input pattern: 7 --->  output pattern: 1
input pattern: 7 --->  output pattern: 2
input pattern: 7 --->  output pattern: 3
input pattern: 7 --->  output pattern: 4
input pattern: 7 --->  output pattern: 5
input pattern: 7 --->  output pattern: 6
input pattern: 7 --->  output pattern: 7
input pattern: 7 --->  output pattern: 8
input pattern: 8 --->  output pattern: 0
input pattern: 8 --->  output pattern: 10
input pattern: 8 --->  output pattern: 12
input pattern: 8 --->  output pattern: 13
input pattern: 8 --->  output pattern: 14
input pattern: 9 --->  output pattern: 12
input pattern: 9 --->  output pattern: 13
input pattern: 9 --->  output pattern: 15
input pattern: 9 --->  output pattern: 3
input pattern: 9 --->  output pattern: 9
